,1,2,3,4,5,6,p_final,r71,r72,r73,r81,r82,r83,r84,r85,R71,R72,R73,R81,R82,R83,R84,R85,pR71,pR72,pR73,pR81,pR82,pR83,pR84,pR85
0,1.1,2.1,3.1,4.1,5.1,6.1,4.279784106002573e-05,0.20736,0.7955999999999998,0.0,0.0,1.05336,1.4849999999999999,0.9953280000000003,1.7625600000000003,0.20674802584350324,0.7932519741564966,0.0,0.0,0.19888796748188528,0.2803871722019059,0.1879307766554739,0.332794083660735,8.848369149524344e-06,3.394947191050138e-05,0.0,0.0,8.511975621041293e-06,1.1999965631167234e-05,8.043031509588166e-06,1.4242868298229043e-05
1,1.1,2.1,3.1,4.1,5.1,6.2,0.00016643604856676677,0.10368,0.5615999999999998,0.0,0.0,1.1286,2.9699999999999998,2.737152000000001,1.8727200000000002,0.1558441558441559,0.8441558441558441,0.0,0.0,0.12959793635439146,0.34104720093260904,0.3143091003794926,0.21504576233350697,2.59380854909247e-05,0.00014049796307584206,0.0,0.0,2.1569768429232246e-05,5.676254849797958e-05,5.2312364695738e-05,3.579136694381695e-05
2,1.1,2.1,3.1,4.1,5.1,6.3,0.00038042525386689554,0.08063999999999999,0.09359999999999995,0.0,0.0,1.2038400000000002,3.267,2.9859840000000006,1.1016000000000001,0.46280991735537197,0.537190082644628,0.0,0.0,0.140661411493518,0.3817291594807642,0.34889414219253456,0.1287152868331833,0.00017606458030203432,0.0002043606735648612,0.0,0.0,5.351115317669744e-05,0.00014521941240386638,0.0001327281426162677,4.896654567006404e-05
3,1.1,2.1,3.1,4.1,5.1,6.4,9.130206092805493e-05,0.06912,0.09359999999999995,0.0,0.0,0.7524000000000001,4.1579999999999995,4.478976000000001,0.6609600000000001,0.42477876106194706,0.575221238938053,0.0,0.0,0.07486316875376108,0.4137175115339427,0.4456543542424852,0.06576496546981117,3.878317632342158e-05,5.251888460463336e-05,0.0,0.0,6.835161594823152e-06,3.7773261445075305e-05,4.068916100390036e-05,6.004476884256129e-06
4,1.1,2.1,3.1,4.1,5.2,6.1,0.0004377051926593541,0.8812799999999998,7.160399999999999,0.0,0.0,1.05336,0.29700000000000004,0.49766400000000016,8.22528,0.1095890410958904,0.8904109589041096,0.0,0.0,0.10456946400108644,0.029483871428877758,0.04940424710700681,0.8165424174630289,4.796769234623058e-05,0.00038973750031312353,0.0,0.0,4.5770597386880934e-05,1.2905243624120565e-05,2.1624495498162755e-05,0.00035740485615018983
5,1.1,2.1,3.1,4.1,5.2,6.2,0.00021074694461376307,0.4406399999999999,5.054399999999999,0.0,0.0,1.1286,0.5940000000000001,1.3685760000000005,8.73936,0.08018867924528301,0.9198113207547169,0.0,0.0,0.0953971992477771,0.050209052235672166,0.11568165635098869,0.738712092165562,1.689951914355647e-05,0.0001938474254702066,0.0,0.0,2.0104668266179402e-05,1.058140435062074e-05,2.4379555623830187e-05,0.00015568131637313273
6,1.1,2.1,3.1,4.1,5.2,6.3,0.0002918034617729028,0.3427199999999999,0.8423999999999998,0.0,0.0,1.2038400000000002,0.6534000000000001,1.4929920000000003,5.1408,0.2891859052247874,0.7108140947752126,0.0,0.0,0.1417778192332805,0.07695177688648447,0.17583163036012586,0.6054387735201091,8.438544824052353e-05,0.00020741801353237925,0.0,0.0,4.137125845488409e-05,2.2454794885052215e-05,5.130827842825816e-05,0.0001766691300047083
7,1.1,2.1,3.1,4.1,5.2,6.4,1.556285129455481e-05,0.29375999999999997,0.8423999999999998,0.0,0.0,0.7524000000000001,0.8316000000000001,2.2394880000000006,3.0844799999999997,0.2585551330798479,0.741444866920152,0.0,0.0,0.10891770199282916,0.12038272325523224,0.3241891103143501,0.4465104644375885,4.023855087565502e-06,1.1538996206989306e-05,0.0,0.0,1.6950699994590362e-06,1.8734984204547243e-06,5.045306915136255e-06,6.948975959504793e-06
8,1.1,2.1,3.1,4.2,5.1,6.1,6.484521372731171e-05,1.9699200000000001,0.7955999999999998,0.0,0.2808,3.16008,2.0789999999999997,0.11059200000000001,1.3708800000000003,0.7123145014319188,0.2876854985680811,0.0,0.040106539422671506,0.45135282442591085,0.29694264764862555,0.01579580629569832,0.19580218220709378,4.619018608641625e-05,1.8655027640895446e-05,0.0,2.6007171207259866e-06,2.9268070366323986e-05,1.9255309451528937e-05,1.0242824352397734e-06,1.2696834353493025e-05
9,1.1,2.1,3.1,4.2,5.1,6.2,0.00022695824804559096,0.9849600000000001,0.5615999999999998,0.0,0.26208,3.3858,4.1579999999999995,0.304128,1.45656,0.6368715083798884,0.36312849162011157,0.0,0.027395404496157866,0.3539200264922593,0.43463862902558154,0.031790711151585396,0.15225522883441586,0.00014454324177205237,8.241500627353858e-05,0.0,6.217613008948295e-06,8.032506916093231e-05,9.864482177658352e-05,7.215164107087253e-06,3.455557999203957e-05
